SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 10-Jul-2019, 36.55, 37.35, 37.90, 34.20, 35.80, 35.95, 36.32, 55438, 20.13, 511, 29024, 52.35
21STCENMGM, EQ, 10-Jul-2019, 17.60, 17.25, 17.25, 17.25, 17.25, 17.25, 17.25, 35, 0.01, 7, 35, 100.00
3IINFOTECH, EQ, 10-Jul-2019, 3.25, 3.25, 3.45, 3.25, 3.25, 3.25, 3.33, 1445962, 48.21, 445, 408740, 28.27
3MINDIA, EQ, 10-Jul-2019, 21848.55, 22106.40, 22113.90, 21851.55, 21921.00, 21985.30, 21970.48, 701, 154.01, 371, 375, 53.50
3PLAND, EQ, 10-Jul-2019, 8.30, 8.30, 8.30, 7.90, 8.25, 8.25, 8.23, 612, 0.05, 16, 600, 98.04
5PAISA, EQ, 10-Jul-2019, 222.20, 228.90, 228.90, 216.60, 219.30, 219.35, 220.10, 3057, 6.73, 178, 1728, 56.53
63MOONS, EQ, 10-Jul-2019, 97.10, 99.00, 101.95, 95.00, 101.95, 101.85, 101.33, 100177, 101.51, 1075, 44699, 44.62
8KMILES, EQ, 10-Jul-2019, 85.35, 85.20, 89.60, 83.35, 87.00, 86.75, 87.53, 274102, 239.91, 3834, 41242, 15.05
A2ZINFRA, EQ, 10-Jul-2019, 10.95, 11.20, 11.20, 10.25, 10.45, 10.45, 10.53, 162506, 17.12, 613, 119110, 73.30
AARON, SM, 10-Jul-2019, 47.90, 46.90, 46.90, 46.90, 46.90, 46.90, 46.90, 3000, 1.41, 1, 3000, 100.00
AARTIDRUGS, EQ, 10-Jul-2019, 524.75, 524.75, 527.90, 515.00, 515.20, 516.90, 518.34, 9599, 49.76, 871, 5676, 59.13
AARTIIND, BE, 10-Jul-2019, 1672.80, 1734.00, 1734.00, 1620.00, 1635.30, 1628.65, 1634.95, 52362, 856.10, 3417, -, -
AARVEEDEN, EQ, 10-Jul-2019, 18.85, 19.90, 19.90, 17.30, 18.45, 18.90, 18.75, 1697, 0.32, 87, 1066, 62.82
AAVAS, EQ, 10-Jul-2019, 1496.65, 1496.00, 1521.80, 1483.55, 1496.20, 1499.65, 1507.87, 48056, 724.62, 2221, 39986, 83.21
